"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
562,"Business Studies","Business Studies",3,687,"1",561,107
563,"Year 12","Year 12",2,74,"1",515,107
564,"Business Studies","Business Studies",3,687,"1",563,107
566,"Business Studies","Business Studies",3,687,"1",565,107
567,"Tamil","Tamil",1,14,"1",1,1
568,"Beginner","Beginner",2,1,"1",567,1
569,"Kannada","Kannada",1,15,"1",1,1
570,"Beginner","Beginner",2,1,"1",569,1
571,"Intermediate","Intermediate",2,5,"1",569,1
572,"Advanced","Advanced",2,8,"1",569,1
573,"Intermediate","Intermediate",2,5,"1",567,1
574,"Accountancy","Accountancy",3,688,"1",561,107
575,"Accountancy","Accountancy",3,688,"1",563,107
576,"Accountancy","Accountancy",3,688,"1",565,107
577,"Advanced","Advanced",2,8,"1",567,1
578,"Biology","Biology",3,689,"1",561,107
579,"Biology","Biology",3,689,"1",563,107
580,"Biology","Biology",3,689,"1",565,107
581,"Geography","Geography",3,690,"1",561,107
582,"Geography","Geography",3,690,"1",563,107
583,"Geography","Geography",3,690,"1",565,107
584,"Economics","Economics",3,691,"1",561,107
585,"Economics","Economics",3,691,"1",563,107
586,"Economics","Economics",3,691,"1",565,107
587,"Chemistry","Chemistry",3,692,"1",561,107
588,"Chemistry","Chemistry",3,692,"1",563,107
589,"Chemistry","Chemistry",3,692,"1",565,107
590,"Mathematics","Mathematics",3,693,"1",561,107
591,"Mathematics","Mathematics",3,693,"1",563,107
592,"Mathematics","Mathematics",3,693,"1",565,107
593,"Urdu","Urdu",1,17,"1",1,1
594,"Elementary","Elementary",2,2,"1",593,1
595,"Intermediate","Intermediate",2,5,"1",593,1
596,"Pyp I","Pyp I",2,80,"1",467,107
597,"Language English","Language English",3,694,"1",596,107
598,"Pyp Ii","Pyp Ii",2,81,"1",467,107
599,"Language English","Language English",3,694,"1",598,107
600,"Pyp Iii","Pyp Iii",2,82,"1",467,107
601,"Language English","Language English",3,694,"1",600,107
602,"Pyp Iv","Pyp Iv",2,83,"1",467,107
603,"Language English","Language English",3,694,"1",602,107
605,"Language English","Language English",3,694,"1",604,107
606,"Mathematics","Mathematics",3,695,"1",596,107
607,"Mathematics","Mathematics",3,695,"1",598,107
608,"Mathematics","Mathematics",3,695,"1",600,107
609,"Mathematics","Mathematics",3,695,"1",602,107
610,"Mathematics","Mathematics",3,695,"1",604,107
611,"Advanced","Advanced",2,8,"1",593,1
613,"Mathematics","Mathematics",3,696,"1",612,107
615,"Mathematics","Mathematics",3,696,"1",614,107
617,"Mathematics","Mathematics",3,696,"1",616,107
618,"Algebra","Algebra",3,697,"1",468,107
619,"Algebra","Algebra",3,697,"1",470,107
620,"Algebra","Algebra",3,697,"1",472,107
621,"Marathi","Marathi",1,18,"1",1,1
622,"Beginner","Beginner",2,1,"1",621,1
623,"Intermediate","Intermediate",2,5,"1",621,1
624,"Advanced","Advanced",2,8,"1",621,1
